"PE_Name","PE_SubscriptionName","PE_ResourceGroup","Bytes_In","Bytes_Out","Total"
"pe-pls-1-prod","ACE-msini","rg-pe-prod","14151","8175","22326"
"pe-pls-10-prod","ACE-msini","rg-pe-prod","0","0","0"
"pe-pls-11-prod","ACE-msini","rg-pe-prod","0","0","0"
"pe-pls-12-prod","ACE-msini","rg-pe-prod","0","0","0"
"pe-pls-13-prod","ACE-msini","rg-pe-prod","0","0","0"
"pe-pls-14-prod","ACE-msini","rg-pe-prod","0","0","0"
"pe-pls-15-prod","ACE-msini","rg-pe-prod","0","148","148"
"pe-pls-16-prod","ACE-msini","rg-pe-prod","0","0","0"
"pe-pls-17-prod","ACE-msini","rg-pe-prod","474","814","1288"
"pe-pls-18-prod","ACE-msini","rg-pe-prod","0","0","0"
"pe-pls-19-prod","ACE-msini","rg-pe-prod","158","74","232"
"pe-pls-2-prod","ACE-msini","rg-pe-prod","25209","16957","42166"
"pe-pls-20-prod","ACE-msini","rg-pe-prod","948","444","1392"
"pe-pls-3-prod","ACE-msini","rg-pe-prod","1264","1574","2838"
"pe-pls-4-prod","ACE-msini","rg-pe-prod","948","444","1392"
"pe-pls-5-prod","ACE-msini","rg-pe-prod","948","498","1446"
"pe-pls-6-prod","ACE-msini","rg-pe-prod","0","444","444"
"pe-pls-7-prod","ACE-msini","rg-pe-prod","948","444","1392"
"pe-pls-8-prod","ACE-msini","rg-pe-prod","948","518","1466"
"pe-pls-9-prod","ACE-msini","rg-pe-prod","153478","118316","271794"
